GBACC,AGE,ISODATE
ACU80124,1,2008/02/24
ACU80470,17,2008/02/24
ACU80458,1,2008/02/24
ACU80600,15,2008/02/24
ACU80611,4,2008/02/24
ACU80622,1,2008/02/24
ACN43047,6,2008/02/25
ACN76511,8,2008/02/25
ACL12206,11,2008/02/25
ACN32969,1,2008/02/25
ACN33167,3,2008/02/25
ACN33178,40,2008/02/25
ACN76500,12,2008/02/25
ACU80135,1,2008/02/25
ACU80633,3,2008/02/25
ACM51229,,2008/02/26
ACM51230,,2008/02/26
ACK76349,,2008/02/26
ACD85636,,2008/02/26
ACL12228,14,2008/02/26
ACR61688,3,2008/02/26
ACN33189,3,2008/02/26
ACL12217,9,2008/02/26
ACN32980,5,2008/02/26
ACU80146,2,2008/02/26
ACU80644,4,2008/02/26
ACU80666,5,2008/02/26
ACU80655,6,2008/02/26
ACO94760,8,2008/02/26
ACN33002,15,2008/02/27
ACN32991,3,2008/02/27
ACN33200,3,2008/02/27
ACU80688,1,2008/02/27
ACU80677,16,2008/02/27
ACU81103,87,2008/02/27
ACN33024,2,2008/02/28
ACN33013,9,2008/02/28
ACU80699,3,2008/03/01
ACF40080,,2008/03/02
ACU80710,1,2008/03/02
ACF40082,,2008/03/03
ACQ65736,4,2008/03/03
ACU80157,21,2008/03/03
ACN43058,1,2008/03/04
ACN76522,8,2008/03/04
ACN43080,5,2008/03/05
ACN43069,2,2008/03/05
ACL12239,1,2008/03/05
ACN33035,4,2008/03/05
ACM51241,,2008/03/06
ACL12250,1,2008/03/06
ACN33211,56,2008/03/06
ACH82075,,2008/03/10
ACN33046,5,2008/03/10
ACO94771,1,2008/03/10
ACO94782,3,2008/03/10
ACO94793,14,2008/03/10
ACF40100,,2008/03/11
ACF75879,,2008/03/11
ACU80721,3,2008/03/11
ACD85638,,2008/03/12
ACR61699,17,2008/03/12
ACN33057,9,2008/03/12
ACU80732,,2008/03/12
ACF40102,,2008/03/13
ACF40090,,2008/03/13
ACU80743,16,2008/03/13
ACF40084,,2008/03/14
ACU80798,73,2008/03/14
ACU80036,9,2008/03/17
ACF40104,,2008/03/19
ACF10327,,2008/03/19
ACN33068,6,2008/03/19
ACN33079,3,2008/03/20
ACM51224,,2008/03/21
ACF10329,,2008/03/21
ACF40086,,2008/03/21
ACF40096,,2008/03/21
ACF40098,,2008/03/21
ACF10331,,2008/03/23
ACH82071,,2008/04/01
ACF40092,,2008/04/04
ACH82073,,2008/04/07
ACJ73764,,2008/04/10
ACU80754,1,2008/04/16
ACM51245,,2008/04/21
ACF40106,,2008/04/21
ACH82077,,2008/05/10
ACM51247,,2008/05/13
ACK76375,,2008/07/31
ACJ73752,,2008/08/05
ACJ73748,,2008/08/09
ACJ73775,,2008/08/25
ACJ73757,,2008/08/28
ACJ73762,,2008/08/30
ACJ73760,,2008/09/09
ACJ73750,,2008/09/13
ACK76339,,2008/09/20
ACM51216,,2008/10/07
ACK76364,,2008/10/15
ACM51238,,2008/10/16
ACM51234,,2008/10/29
ACM51236,,2008/10/29
ACM51225,,2008/10/29
ACM51243,,2008/11/10
ACM51227,,2008/12/03
ACV72365,,2008/12/03
ACT34400,,2008/12/05
ACM51232,,2008/12/08
ACM51221,,2008/12/09
ACT34404,,2008/12/11
ACT34401,,2008/12/12
ACT34403,,2008/12/15
ACV72373,,2008/12/16
ACT34398,,2008/12/17
ACT34397,,2008/12/20
ACT67806,,2008/12/22
ACT67774,,2008/12/23
ACT34407,,2008/12/23
ACT34399,,2008/12/24
ACT34406,,2008/12/25
ACT34405,,2008/12/26
ACT34402,,2008/12/28
ACT67776,,2008/12/29
ACT67796,,2008/12/31
ACT67817,,2009
AFM71754,,2009
ACZ05425,,2009
ACZ05436,,2009
ADM86429,,2009
ADL39368,,2009
ADL39412,,2009
ACT67792,,2009/01/01
AEK28872,,2009/01/01
ACT67784,,2009/01/02
ACT67807,,2009/01/05
ACT67772,,2009/01/06
ACT67785,,2009/01/07
ACT67789,,2009/01/09
ACT67780,,2009/01/16
AEB71947,,2009/01/16
ACT67799,,2009/01/19
ACT67773,,2009/01/20
ACT67788,,2009/01/20
ACT67771,,2009/01/21
ACV72370,,2009/01/21
ACT67802,,2009/01/22
ACT67777,,2009/01/25
ACT67805,,2009/01/26
ACT67819,,2009/01/26
ACT67818,,2009/01/27
ACT67793,,2009/01/30
AEA77299,,2009/01/30
ADL39324,,2009
ADL39346,,2009
ADL39434,,2009
AEK28818,,2009/02/01
AEK28927,,2009/02/01
AEK28839,,2009/02/01
AEK28883,,2009/02/01
AEK28949,,2009/02/01
ACT67808,,2009/02/02
ACT67786,,2009/02/05
ACV72372,,2009/02/08
ADL39302,,2009/02/09
ADL39203,,2009/02/09
ACT67787,,2009/02/11
ADW23115,,2009/02/12
ACT67813,,2009/02/13
ACT67801,,2009/02/16
ACT67811,,2009/02/22
ACV72369,,2009/02/24
ACT67790,,2009/02/24
ACT67809,,2009/02/25
ACT67779,,2009/02/27
AEB71925,,2009/02/27
ACT67775,,2009/02/28
ADL39401,,2009
ADL39357,,2009
AEK28971,,2009/03/01
ACT67795,,2009/03/03
ACT67797,,2009/03/03
ACT67791,,2009/03/04
ACT67803,,2009/03/08
ACV72375,,2009/03/09
ACV72367,,2009/03/09
ACT67816,,2009/03/14
ACT67815,,2009/03/16
ACT67812,,2009/03/18
ACT67804,,2009/03/28
ACT67781,,2009/03/30
ACT67782,,2009/03/30
ACT67814,,2009/03/30
ADK98909,,2009/03/30
ADK98931,,2009/04/01
AEB71936,,2009/04/01
ACT67778,,2009/04/06
ACT67800,,2009/04/08
ACT67798,,2009/04/15
ACT67794,,2009/04/15
ACT67810,,2009/04/19
ACT67783,,2009/04/20
ADK94531,,2009/04/25
ADK94564,,2009/04/25
ADL28214,,2009/04/25
ACZ05183,13,2009/04/26
ADI75829,,2009/04/26
ADL28236,,2009/04/26
ADL28203,,2009/04/26
ADM26795,,2009/04/26
ADM26806,,2009/04/26
ACZ05271,12,2009/04/27
ACZ05161,8,2009/04/27
ACZ05216,57,2009/04/27
ACZ05172,14,2009/04/27
ACZ05491,51,2009/04/27
ACZ05524,8,2009/04/27
ACZ05359,,2009/04/27
ACZ05370,,2009/04/27
ADI75928,,2009/04/27
ADI75873,,2009/04/27
ADI75884,,2009/04/27
ADI75895,,2009/04/27
ADI75840,,2009/04/27
ADK94191,,2009/04/27
ADK94542,,2009/04/27
ADK94553,,2009/04/27
ADK94575,,2009/04/27
ADK98843,,2009/04/27
ADL28011,,2009/04/27
ADL28192,,2009/04/27
ADL28137,,2009/04/27
ADL28225,,2009/04/27
AEB71980,,2009/04/27
ACZ05260,85,2009/04/28
ACZ05304,8,2009/04/28
ACZ05238,1,2009/04/28
ACZ05326,49,2009/04/28
ACZ05227,27,2009/04/28
ACZ05249,64,2009/04/28
ACZ05205,12,2009/04/28
ACZ05348,,2009/04/28
ACZ05557,16,2009/04/28
ADE34191,,2009/04/28
ADI75917,,2009/04/28
ADJ88782,,2009/04/28
ADK45432,,2009/04/28
ADK94202,,2009/04/28
ADK94586,,2009/04/28
ADK98645,,2009/04/28
ADK98656,,2009/04/28
ADK98733,,2009/04/28
ADK98722,,2009/04/28
ADK98777,,2009/04/28
ADK98678,,2009/04/28
ADK98700,,2009/04/28
ADK98711,,2009/04/28
ADK98623,,2009/04/28
ADK98634,,2009/04/28
ADK98755,,2009/04/28
ADK99305,,2009/04/28
ADL27989,,2009/04/28
ADL28000,,2009/04/28
ADL28022,,2009/04/28
ADL28044,,2009/04/28
ADL28077,,2009/04/28
ADL28099,,2009/04/28
ADL28247,,2009/04/28
ADL28066,,2009/04/28
ADL28159,,2009/04/28
ADL28110,,2009/04/28
ADL28258,,2009/04/28
ADY17654,,2009/04/28
AEI59979,,2009/04/28
ACZ05315,57,2009/04/29
ACZ05469,16,2009/04/29
ACZ05480,4,2009/04/29
ACZ05403,6,2009/04/29
ADK45312,,2009/04/29
ADK98788,,2009/04/29
ADK98810,,2009/04/29
ADK98854,,2009/04/29
ADK98667,,2009/04/29
ADK98744,,2009/04/29
ADK98689,,2009/04/29
ADK98821,,2009/04/29
ADK98832,,2009/04/29
ADK98766,,2009/04/29
ADK98876,,2009/04/29
ADK99074,,2009/04/29
ADL28033,,2009/04/29
ADL28126,,2009/04/29
ADL28370,,2009/04/29
ADL28055,,2009/04/29
ADL28148,,2009/04/29
ADL28088,,2009/04/29
ADL28170,,2009/04/29
AEI60012,,2009/04/29
AEI60023,,2009/04/29
AEI60034,,2009/04/29
ACZ05282,44,2009/04/30
ACZ05535,49,2009/04/30
ADK45421,,2009/04/30
ADK94213,,2009/04/30
ADK94235,,2009/04/30
ADK98799,,2009/04/30
ADK98865,,2009/04/30
ADK98920,,2009/04/30
ADK98997,,2009/04/30
ADK99019,,2009/04/30
ADK99052,,2009/04/30
ADK98953,,2009/04/30
ADK98964,,2009/04/30
ADK98975,,2009/04/30
ADK98986,,2009/04/30
ADK99008,,2009/04/30
ADK99030,,2009/04/30
ADK99041,,2009/04/30
ADK99096,,2009/04/30
ADL28181,,2009/04/30
ADL39181,,2009
ACV72374,,2009/05/01
ACZ05458,27,2009/05/01
ACZ05414,43,2009/05/01
ADE34202,,2009/05/01
ADK45410,,2009/05/01
ADK45465,,2009/05/01
ADK98887,,2009/05/01
ADK99107,,2009/05/01
ADK99063,,2009/05/01
ADK99118,,2009/05/01
ADK99129,,2009/05/01
AEI60045,,2009/05/01
AEK28828,,2009/05/01
AEK28861,,2009/05/01
ACZ05337,78,2009/05/02
ACZ05392,29,2009/05/02
ADK45454,,2009/05/02
ADK98898,,2009/05/02
ADK99085,,2009/05/02
ACV72368,,2009/05/03
ACZ05513,79,2009/05/03
ADK99195,,2009/05/03
ADK99272,,2009/05/03
ADK45476,,2009/05/04
ADK94224,,2009/05/04
ADK94257,,2009/05/04
ADK94268,,2009/05/04
ADK99184,,2009/05/04
ADK99173,,2009/05/04
ADV76587,,2009/05/04
ACZ05546,13,2009/05/05
ADK99283,,2009/05/05
ADE34213,,2009/05/06
ADK99162,,2009/05/06
ADK99151,,2009/05/06
ADK99250,,2009/05/06
ADK99140,,2009/05/06
ADY17665,,2009/05/06
ADK45443,,2009/05/07
ADK94246,,2009/05/09
ADK99217,,2009/05/09
ADM07493,,2009/05/09
ACZ05950,74,2009/05/11
ACZ06016,1,2009/05/11
ADK94290,,2009/05/11
ADK94476,,2009/05/11
ADK94345,,2009/05/11
ADK99239,,2009/05/11
ADK99206,,2009/05/11
ADK99228,,2009/05/11
AEB71969,,2009/05/11
ACZ05961,6,2009/05/13
ADE34224,,2009/05/13
ACZ05983,1,2009/05/15
ADV76609,,2009/05/15
ADV76598,,2009/05/16
ADV76579,,2009/05/17
ACZ05972,68,2009/05/17
ADE34235,,2009/05/18
ADK99261,,2009/05/18
ADK99294,,2009/05/18
ADE34257,,2009/05/19
ADK94301,,2009/05/19
ACZ05994,,2009/05/20
ADB90414,,2009/05/20
ADK94279,,2009/05/20
AEB66895,,2009/05/21
ADK94334,,2009/05/23
ADM26784,,2009/05/23
ADV76620,,2009/05/23
ADB89721,,2009/05/24
ADE34268,,2009/05/24
ACV72371,,2009/05/25
ADK94441,,2009/05/26
ADK94312,,2009/05/26
ADK94323,,2009/05/26
ACZ06005,76,2009/06/01
ADR32361,,2009/06/02
ADK94498,,2009/06/03
ADE34246,,2009/06/04
ADV76631,,2009/06/04
ADY17676,,2009/06/04
ADK94487,,2009/06/05
ADY17687,,2009/06/05
AEB40206,,2009/06/08
ADY11836,,2009/06/11
ADB89732,,2009/06/12
ADK94509,,2009/06/23
ADY17698,,2009/06/23
ACV72366,,2009/06/25
ACV72364,,2009/06/30
ADD21560,,2009/07/27
ADK94520,,2009/08/11
ADY11825,,2009/11/13
AFM71989,,2010
AFM72993,,2010
AEK28993,,2010/01/26
ADN90216,,2010/03/19
AEA73288,,2010/05/17
AEA73299,,2010/05/21
AEA73332,,2010/05/28
AEA73310,,2010/05/28
AEA73321,,2010/05/28
AEA73343,,2010/05/30
AEA73376,,2010/06/01
AEA73365,,2010/06/01
AEA73354,,2010/06/01
AEA73452,,2010/06/01
ADN89930,,2010/06/02
AEA72704,,2010/06/02
AEA72726,,2010/06/02
AEA73387,,2010/06/02
AEA73398,,2010/06/02
AEA73409,,2010/06/02
AEA73420,,2010/06/02
ADM12839,,2010/06/03
ADN90029,,2010/06/03
ADN89864,,2010/06/03
AEA72715,,2010/06/03
AEA73562,,2010/06/03
AEA73463,,2010/06/03
AEM98407,,2010/06/03
AEM98418,,2010/06/03
ADN06366,,2010/06/04
ADN89875,,2010/06/04
ADN90106,,2010/06/04
ADN90073,,2010/06/04
ADN89897,,2010/06/05
ADN90051,,2010/06/05
ADN90117,,2010/06/05
ADN90139,,2010/06/05
ADN90150,,2010/06/05
ADM12817,,2010/06/06
ADN89996,,2010/06/06
ADN89886,,2010/06/06
ADN90095,,2010/06/06
ADN90161,,2010/06/06
ADN90205,,2010/06/06
AEA73474,,2010/06/06
ADM12828,,2010/06/07
ADN89963,,2010/06/07
ADN89974,,2010/06/07
ADN90040,,2010/06/07
ADN90172,,2010/06/07
ADN90128,,2010/06/07
ADN90194,,2010/06/07
AEA73496,,2010/06/07
AEA73485,,2010/06/07
AEK21369,,2010/06/07
AET98600,,2010/06/07
ADM12806,,2010/06/08
ADN90007,,2010/06/08
ADN89919,,2010/06/08
ADN89941,,2010/06/08
ADN90062,,2010/06/08
ADN90084,,2010/06/08
ADN90183,,2010/06/08
