GBACC,AGE
"ABB53740",1
"ABE11867",
"ABE11867",
"ABE11900",
"ABE11900",
"ABE11922",10
"ABE11922",10
"ABE11942",5
"ABE11942",5
"ABG47829",19
"ABG47829",19
"ABE12032",
"ABE12032",
"ABF47627",
"ABG47840",20
"ABG47840",20
"ABG88300",48
"ABG88300",48
"ABF47660",8
"ABF47660",8
"ABI20837",
"ABI20837",
"ABE26991",23
"ABE26991",23
"ABI20848",1
"ABI20848",1
"ABG26791",26
"ABG26791",26
"ABG88322",59
"ABG88322",59
"ABF47638",8
"ABF47638",8
"ABI20870",1
"ABI20870",1
"ABI92313",16
"ABI92313",16
"ABW40114",
"ABW40114",
"ABV29634",
"ABV29634",
"ABO33025",
"ABO33025",
"ACI32721",
"ACI32721",
"ACI32723",
"ACI32723",
"ACI32735",
"ACI32735",
"AEK59838",
"AEK59838",
"ACI32724",
"ACI32724",
"ABW71294",
"ABW71294",
"ACF40124",
"ACF40124",
"ACK99008",
"ACK99008",
"ACK99009",
"ACK99009",
"ACK99014",
"ACK99014",
"ACK99027",
"ACK99027",
"ACN72616",
"ACN72616",
"ACQ73203",
"ACQ73203",
"ACA33678",
"ACA33678",
"ACA33676",
"ACA33676",
"ABU80400",
"ABU80400",
"ABV30613",
"ABV30613",
"ACA24513",
"ACA24513",
"ABV30569",
"ABV30569",
"ABW86519",
"ABW86519",
"ABY51171",
"ABY51171",
"ABW40576",
"ABW40576",
"ACN33090",
"ACN33090",
"ACD56280",7
"ACD56280",7
"ABW91515",
"ABW91515",
"ABX58360",
"ABX58360",
"ACA33796",
"ACA33796",
"ACA33799",
"ACA33799",
"AFO65016",
"AFO65016",
"ABW23290",
"ABW23290",
"ACA33774",
"ACA33774",
"ACH82081",
"ACH82081",
"ACF40119",
"ACF40119",
"ACF40120",
"ACF40120",
"ACF40121",
"ACF40121",
"ACD47241",
"ACD47241",
"ACD47243",
"ACD47243",
"ADL60242",
"ADL60242",
"ADL60253",
"ADL60253",
"ADL60286",
"ADL60286",
"ADL60297",
"ADL60297",
"ADL60308",
"ADL60308",
"ADL60319",
"ADL60319",
"ADL60330",
"ADL60330",
"ADL60341",
"ADL60341",
"ADL60352",
"ADL60352",
"ADL60374",
"ADL60374",
"ABO38384",
"ABO38384",
"AET84449",
"AET84449",
"ACR15348",
"ACR15348",
"CAA24272",
"CAA24272",
"ABD77675",
"ABD77675",
"ABO21709",
"ABO21709",
"ACF41834",
"ACF41834",
"AFM71846",
"AFM71846",
"AAM75158",
"AAM75158",
"ACI32737",
"ACI32737",
"ABN59434",
"ABN59434",
"ACI32726",
"ACI32726",
"AFO64890",
"AFO64890",
"AFO64868",
"AFO64868",
"AFO64857",
"AFO64857",
"ACK99443",24
"ACK99443",24
"ACK99465",9
"ACK99465",9
"ACV49666",
"ACV49666",
"ACL12261",19
"ACL12261",19
"AFO66169",
"AFO66169",
"ABO38395",
"ABO38395",
"ABU50586",
"ABU50586",
"ABU99109",
"ABU99109",
"ABK40028",
"ABK40028",
"ABM22026",
"ABM22026",
"ABJ16642",
"ABJ16642",
"ABP49393",
"ABP49393",
"ABJ16653",
"ABJ16653",
"ABJ16664",
"ABJ16664",
"ABJ16719",
"ABJ16719",
"ABD78071",19
"ABD78071",19
"AAD17229",
"AAD17229",
"ABW23340",
"ABW23340",
"ACA33734",
"ACA33734",
"ACD47250",
"ACD47250",
"ACU79992",20
"ACU79992",20
"ABU50587",
"ABU50587",
"ACM41800",
"ACM41800",
"BAA02768",
"BAA02768",
"BAA02769",
"BAA02769",
"AAK70449",
"AAK70449",
"AAK70450",
"AAK70450",
"ABD59848",
"ABD59848",
"ADN92772",
"ADN92772",
"ABF21274",
"ABF21274",
"ABD59847",
"ABD59847",
"ADN92774",
"ADN92774",
"ADN92780",
"ADN92780",
"ADN92771",
"ADN92771",
"ACR15326",
"ACR15326",
"ADY04727",
"ADY04727",
"ADN92773",
"ADN92773",
"ACO94804",
"ACO94804",
"ADN92775",
"ADN92775",
"ABB51962",
"ABB51962",
"ADN92777",
"ADN92777",
"ABD59849",
"ABD59849",
"ACR15304",
"ACR15304",
"ACR15315",
"ACR15315",
"ADN92776",
"ADN92776",
"ADN92769",
"ADN92769",
"ADN92770",
"ADN92770",
"ADN92768",
"ADN92768",
"ACR15194",
"ACR15194",
"ADG76644",
"ADG76644",
"AEX33442",
"AEX33442",
"AEX33946",
"AEX33946",
"AEX34757",
"AEX34757",
"AEX34768",
"AEX34768",
"ADG23237",
"ADG23237",
"ADG23238",
"ADG23238",
"ADG23236",
"ADG23236",
"ADG23216",
"ADG23216",
"ABW40070",
"ABW40070",
"ABX58558",
"ABX58558",
"ABX58514",
"ABX58514",
"ABW86398",
"ABW86398",
"ACC61975",
"ACC61975",
"ABW71448",
"ABW71448",
"ABX58415",
"ABX58415",
"ABW91328",
"ABW91328",
"ABX58569",
"ABX58569",
"ABX58536",
"ABX58536",
"ABW23315",
"ABW23315",
"ABW23325",
"ABW23325",
"ABO44123",
"ABO44123",
"ACA33677",
"ACA33677",
"AAP34322",
"AAP34322",
"ABD60955",
"ABD60955",
"ACF41933",
"ACF41933",
"ABF21276",
"ABF21276",
"ACA33730",
"ACA33730",
"ACA33732",
"ACA33732",
"ACA33789",
"ACA33789",
"ACA33779",
"ACA33779",
"ABV29535",
"ABV29535",
"ABY51061",
"ABY51061",
"ABW91570",9
"ABW91570",9
"ABW91361",
"ABW91361",
"ABY51050",
"ABY51050",
"ABY51072",
"ABY51072",
"ABV82551",
"ABV82551",
"ABW39883",
"ABW39883",
"ACN32793",
"ACN32793",
"ABV29612",
"ABV29612",
"ABV30041",
"ABV30041",
"ABW36212",
"ABW36212",
"ABW40092",
"ABW40092",
"ABK57093",
"ABK57093",
"BAI44855",
"BAI44855",
"ABS71673",
"ABS71673",
"ABS71664",
"ABS71664",
"ABS71670",
"ABS71670",
"ABS71668",
"ABS71668",
"ABS71669",
"ABS71669",
"ABS71666",
"ABS71666",
"ABS71672",
"ABS71672",
"ABS71667",
"ABS71667",
"ABS76427",
"ABS76427",
"AEP32457",
"AEP32457",
"ACI32727",
"ACI32727",
"ABO44134",
"ABO44134",
"ABO38406",
"ABO38406",
"AEM23889",
"AEM23889",
"ABQ01322",
"ABQ01322",
"ABD95350",
"ABD95350",
"ABD60933",
"ABD60933",
"ACV49534",
"ACV49534",
"ABW40048",
"ABW40048",
"ABV29656",
"ABV29656",
"ABV30140",
"ABV30140",
"ABV30283",
"ABV30283",
"ABV30360",
"ABV30360",
"ACD37507",
"ACD37507",
"AFQ90532",
"AFQ90532",
"ACH86201",
"ACH86201",
"ABW91493",
"ABW91493",
"ABW40257",
"ABW40257",
"ABY51138",
"ABY51138",
"ABX58547",
"ABX58547",
"ABF47955",
"ABF47955",
"AAA43209",
"AAA43209",
"CCH23214",
"CCH23214",
"ACF54598",
"ACF54598",
"ABF82863",
"ABF82863",
"ABJ09184",
"ABJ09184",
"ABF82874",
"ABF82874",
"ABO32678",
"ABO32678",
"ABF82929",
"ABF82929",
"ABF82918",
"ABF82918",
"ABG26945",
"ABG26945",
"ABJ09151",
"ABJ09151",
"ACA33733",
"ACA33733",
"ACA33725",
"ACA33725",
"ACA33807",
"ACA33807",
"ACA33787",
"ACA33787",
"ACA33772",
"ACA33772",
"ACA33805",
"ACA33805",
"ABD79101",
"ABD79101",
"ABF82819",
"ABF82819",
"ABG80172",
"ABG80172",
"ABI21233",
"ABI21233",
"ABI95217",
"ABI95217",
"ABG80183",
"ABG80183",
"ABG88542",
"ABG88542",
"ABF47869",
"ABF47869",
"AFQ90533",
"AFQ90533",
"AFO64835",
"AFO64835",
"ABF47891",
"ABF47891",
"ABO44046",
"ABO44046",
"ABE11690",1
"ABE11690",1
"ABO38032",33
"ABO38032",33
"ABD77796",
"ABD77796",
"ABF21278",
"ABF21278",
"ABU50573",
"ABU50573",
"ABV45838",
"ABV45838",
"ACB11783",
"ACB11783",
"ABU50574",
"ABU50574",
"AAB03291",
"AAB03291",
"ABW23296",
"ABW23296",
"ADG23245",
"ADG23245",
"AEM60005",
"AEM60005",
